date,city,precipitation
2021-01-12,NYC,0.0
2021-01-13,NYC,0.0
2021-01-14,NYC,0.0
2021-01-15,NYC,0.36
2021-01-16,NYC,0.88
2021-01-17,NYC,0.0
2021-01-18,NYC,0.0
2021-01-19,NYC,0.0
2021-01-20,NYC,0.02
2021-01-21,NYC,0.0
2021-01-22,NYC,0.0
2021-01-23,NYC,0.0
2021-01-24,NYC,0.0
2021-01-25,NYC,0.0
2021-01-26,NYC,0.13
2021-01-27,NYC,0.0
2021-01-28,NYC,0.0
2021-01-29,NYC,0.0
2021-01-30,NYC,0.0
2021-01-31,NYC,0.06
2021-02-01,NYC,1.32
2021-02-02,NYC,0.03
2021-02-03,NYC,0.0
2021-02-04,NYC,0.0
2021-02-05,NYC,0.02
2021-02-06,NYC,0.0
2021-02-07,NYC,0.46
2021-02-08,NYC,0.0
2021-02-09,NYC,0.01
2021-02-10,NYC,0.0
2021-02-11,NYC,0.18
2021-02-12,NYC,0.0
2021-02-13,NYC,0.01
2021-02-14,NYC,0.0
2021-02-15,NYC,0.0
2021-02-16,NYC,0.74
2021-02-17,NYC,0.0
2021-02-18,NYC,0.68
2021-02-19,NYC,0.06
2021-02-20,NYC,0.0
2021-02-21,NYC,0.0
2021-02-22,NYC,0.58
2021-02-23,NYC,0.0
2021-02-24,NYC,0.0
2021-02-25,NYC,0.0
2021-02-26,NYC,0.0
2021-02-27,NYC,0.43
2021-02-28,NYC,0.25
2021-03-01,NYC,0.15
2021-03-02,NYC,0.0
2021-03-03,NYC,0.0
2021-03-04,NYC,0.0
2021-03-05,NYC,0.0
2021-03-06,NYC,0.0
2021-03-07,NYC,0.0
2021-03-08,NYC,0.0
2021-03-09,NYC,0.0
2021-03-10,NYC,0.0
2021-03-11,NYC,0.0
2021-03-12,NYC,0.0
2021-03-13,NYC,0.0
2021-03-14,NYC,0.0
2021-03-15,NYC,0.0
2021-03-16,NYC,0.01
2021-03-17,NYC,0.0
2021-03-18,NYC,0.64
2021-03-19,NYC,0.08
2021-03-20,NYC,0.0
2021-03-21,NYC,0.0
2021-03-22,NYC,0.0
2021-03-23,NYC,0.0
2021-03-24,NYC,0.69
2021-03-25,NYC,0.02
2021-03-26,NYC,0.0
2021-03-27,NYC,0.0
2021-03-28,NYC,0.79
2021-03-29,NYC,0.0
2021-03-30,NYC,0.0
2021-03-31,NYC,0.7
2021-04-01,NYC,0.03
2021-04-02,NYC,0.0
2021-04-03,NYC,0.0
2021-04-04,NYC,0.0
2021-04-05,NYC,0.0
2021-04-06,NYC,0.0
2021-04-07,NYC,0.0
2021-04-08,NYC,0.0
